deltaP,Umax,Re,Cu,n,Nu0,NuInf,Lambda,AvgOmega,AvgNu,AvgVel,AvgP,PG,q,AvgVelOut
0.000010,2.37E-06,0.00948956,1,0.3,0.1,0,168606000,0.631748,0.36097,1.86E-05,0.998781,2.51E-08,7.57E-03,1.90E-05
0.000010,1.23E-06,0.00245549,1,0.3,0.2,0,325801000,0.612024,0.377974,1.66E-05,0.998781,2.51E-08,0.00672251,1.69E-05
0.000010,8.65E-07,0.00115274,1,0.3,0.3,0,462667000,0.597695,0.391031,1.51E-05,0.998781,2.51E-08,0.00609631,1.53E-05
0.000010,6.92E-07,0.000692385,1,0.3,0.4,0,577714000,0.581551,0.406514,1.38E-05,0.998781,2.51E-08,0.00555641,1.40E-05
0.000010,5.93E-07,0.000474207,1,0.3,0.5,0,674811000,0.566094,0.422163,1.26E-05,0.998781,2.51E-08,0.0050743,1.27E-05
0.000010,5.32E-07,0.000354454,1,0.3,0.6,0,752331000,0.551049,0.43824,1.15E-05,0.998781,2.51E-08,0.00461583,1.16E-05
0.000010,4.91E-07,0.000280402,1,0.3,0.7,0,815156000,0.537453,0.453543,1.04E-05,0.998781,2.51E-08,0.00418512,1.05E-05
0.000010,4.58E-07,0.000229218,1,0.3,0.8,0,872533000,0.526835,0.466043,9.49E-06,0.998781,2.51E-08,0.00380296,9.56E-06
0.000050,1.19E-05,0.0474522,1,0.3,0.1,0,33718100,NaN,NaN,NaN,NaN,1.25E-07,NaN,NaN
0.000050,6.14E-06,0.0122786,1,0.3,0.2,0,65154000,NaN,NaN,NaN,NaN,1.25E-07,NaN,NaN
0.000050,4.32E-06,0.00576423,1,0.3,0.3,0,92524700,0.612182,0.377834,6.48E-05,0.998746,1.25E-07,0.0994669,0.000249917
0.000050,3.46E-06,0.00346225,1,0.3,0.4,0,115532000,0.589725,0.398569,6.28E-05,0.998733,1.25E-07,0.0427879,1.08E-04
0.000050,2.96E-06,0.00237126,1,0.3,0.5,0,134949000,0.571477,0.416617,5.86E-05,0.998733,1.25E-07,0.0311367,7.82E-05
0.000050,2.66E-06,0.00177234,1,0.3,0.6,0,150460000,0.553965,0.435056,5.42E-05,0.998732,1.25E-07,0.0234208,5.88E-05
0.000050,2.45E-06,0.00140207,1,0.3,0.7,0,163024000,0.538883,0.451897,4.97E-05,0.998732,1.25E-07,0.0200002,5.03E-05
0.000050,2.29E-06,0.00114614,1,0.3,0.8,0,174499000,0.527652,0.465063,4.56E-05,0.998731,1.25E-07,0.018291,4.60E-05
0.000100,2.37E-05,0.0949154,1,0.3,0.1,0,16857100,NaN,NaN,NaN,NaN,2.51E-07,NaN,NaN
0.000100,1.23E-05,0.0245601,1,0.3,0.2,0,32573200,NaN,NaN,NaN,NaN,2.51E-07,NaN,NaN
0.000100,8.65E-06,0.0115298,1,0.3,0.3,0,46256900,NaN,NaN,NaN,NaN,2.51E-07,NaN,NaN
0.000100,6.93E-06,0.00692531,1,0.3,0.4,0,57759100,NaN,NaN,NaN,NaN,2.51E-07,NaN,NaN
0.000100,5.93E-06,0.00474307,1,0.3,0.5,0,67466800,NaN,NaN,NaN,NaN,2.51E-07,NaN,NaN
0.000100,5.32E-06,0.00354488,1,0.3,0.6,0,75225900,NaN,NaN,NaN,NaN,2.51E-07,NaN,NaN
0.000100,4.91E-06,0.00280428,1,0.3,0.7,0,81507900,0.544946,0.445014,9.10E-05,0.998673,2.51E-07,5.52E-02,1.39E-04
0.000100,4.58E-06,0.00229239,1,0.3,0.8,0,87245100,0.530759,0.461365,8.48E-05,0.99867,2.51E-07,3.90E-02,9.81E-05
0.000500,1.19E-04,0.475019,1,0.3,0.1,0,3368290,NaN,NaN,NaN,NaN,1.25E-06,NaN,NaN
0.000500,6.15E-05,0.122916,1,0.3,0.2,0,6508530,NaN,NaN,NaN,NaN,1.25E-06,NaN,NaN
0.000500,4.33E-05,0.0577033,1,0.3,0.3,0,9242680,NaN,NaN,NaN,NaN,1.25E-06,NaN,NaN
0.000500,3.47E-05,0.0346592,1,0.3,0.4,0,11541000,NaN,NaN,NaN,NaN,1.25E-06,NaN,NaN
0.000500,2.97E-05,0.0237377,1,0.3,0.5,0,13480700,NaN,NaN,NaN,NaN,1.25E-06,NaN,NaN
0.000500,2.66E-05,0.0177319,1,0.3,0.6,0,15038800,NaN,NaN,NaN,NaN,1.25E-06,NaN,NaN
0.000500,2.45E-05,0.0140273,1,0.3,0.7,0,16294800,NaN,NaN,NaN,NaN,1.25E-06,NaN,NaN
0.000500,2.29E-05,0.0114667,1,0.3,0.8,0,17441800,NaN,NaN,NaN,NaN,1.25E-06,NaN,NaN
0.001000,2.38E-04,0.951144,1,0.3,0.1,0,1682180,NaN,NaN,NaN,NaN,2.51E-06,NaN,NaN
0.001000,0.00012306,0.24612,1,0.3,0.2,0,3250450,NaN,NaN,NaN,NaN,2.51E-06,NaN,NaN
0.001000,8.67E-05,0.115543,1,0.3,0.3,0,4615900,NaN,NaN,NaN,NaN,2.51E-06,NaN,NaN
0.001000,6.94E-05,0.0694,1,0.3,0.4,0,5763690,NaN,NaN,NaN,NaN,2.51E-06,NaN,NaN
0.001000,5.94E-05,0.0475313,1,0.3,0.5,0,6732410,NaN,NaN,NaN,NaN,2.51E-06,NaN,NaN
0.001000,5.32E-05,0.0354824,1,0.3,0.6,0,7515460,NaN,NaN,NaN,NaN,2.51E-06,NaN,NaN
0.001000,4.91E-05,0.0280693,1,0.3,0.7,0,8143100,NaN,NaN,NaN,NaN,2.51E-06,NaN,NaN
0.001000,4.59E-05,0.0229454,1,0.3,0.8,0,8716330,NaN,NaN,NaN,NaN,2.51E-06,NaN,NaN
0.005000,1.20E-03,4.80045,1,0.3,0.1,0,333302,NaN,NaN,NaN,NaN,1.25E-05,NaN,NaN
0.005000,0.000621134,1.24227,1,0.3,0.2,0,643983,NaN,NaN,NaN,NaN,1.25E-05,NaN,NaN
0.005000,4.37E-04,0.583208,1,0.3,0.3,0,914483,NaN,NaN,NaN,NaN,1.25E-05,NaN,NaN
0.005000,0.000350302,0.350302,1,0.3,0.4,0,1141870,NaN,NaN,NaN,NaN,1.25E-05,NaN,NaN
0.005000,3.00E-04,0.239916,1,0.3,0.5,0,1333800,NaN,NaN,NaN,NaN,1.25E-05,NaN,NaN
0.005000,2.67E-04,0.178164,1,0.3,0.6,0,1496750,NaN,NaN,NaN,NaN,1.25E-05,NaN,NaN
0.005000,2.47E-04,0.140938,1,0.3,0.7,0,1621790,NaN,NaN,NaN,NaN,1.25E-05,NaN,NaN
0.005000,2.30E-04,0.115208,1,0.3,0.8,0,1735990,NaN,NaN,NaN,NaN,1.25E-05,NaN,NaN
0.010000,0.00242878,9.71511,1,0.3,0.1,0,164692,NaN,NaN,NaN,NaN,2.51E-05,NaN,NaN
0.010000,0.00125717,2.51434,1,0.3,0.2,0,318175,NaN,NaN,NaN,NaN,2.51E-05,NaN,NaN
0.010000,8.85E-04,1.18045,1,0.3,0.3,0,451805,NaN,NaN,NaN,NaN,2.51E-05,NaN,NaN
0.010000,7.09E-04,0.709038,1,0.3,0.4,0,564145,NaN,NaN,NaN,NaN,2.51E-05,NaN,NaN
0.010000,6.07E-04,0.485605,1,0.3,0.5,0,658971,NaN,NaN,NaN,NaN,2.51E-05,NaN,NaN
0.010000,5.40E-04,0.359959,1,0.3,0.6,0,740826,NaN,NaN,NaN,NaN,2.51E-05,NaN,NaN
0.010000,4.96E-04,0.283369,1,0.3,0.7,0,806621,NaN,NaN,NaN,NaN,2.51E-05,NaN,NaN
0.010000,4.63E-04,0.23163,1,0.3,0.8,0,863446,NaN,NaN,NaN,NaN,2.51E-05,NaN,NaN
0.000010,2.37E-06,0.00948956,1,0.4,0.1,0,168606000,0.608312,0.381297,9.52E-06,0.998781,2.51E-08,3.82E-03,9.61E-06
0.000010,1.23E-06,0.00245549,1,0.4,0.2,0,325801000,0.568702,0.419463,6.52E-06,0.998781,2.51E-08,0.00261584,6.57E-06
0.000010,8.65E-07,0.00115274,1,0.4,0.3,0,462667000,0.542148,0.448172,4.75E-06,0.998781,2.51E-08,0.00190666,4.79E-06
0.000010,6.92E-07,0.000692385,1,0.4,0.4,0,577714000,0.521731,0.472233,3.55E-06,0.998781,2.51E-08,0.00142462,3.58E-06
0.000010,5.93E-07,0.000474207,1,0.4,0.5,0,674811000,0.504623,0.493893,2.71E-06,0.998781,2.51E-08,0.00108594,2.73E-06
0.000010,5.32E-07,0.000354454,1,0.4,0.6,0,752331000,0.489269,0.514622,2.08E-06,0.998781,2.51E-08,8.36E-04,2.10E-06
0.000010,4.91E-07,0.000280402,1,0.4,0.7,0,815156000,0.475115,0.534917,1.63E-06,0.998781,2.51E-08,0.00065402,1.64E-06
0.000010,4.58E-07,0.000229218,1,0.4,0.8,0,872533000,0.462089,0.554695,1.31E-06,0.998781,2.51E-08,0.000525453,1.32E-06
0.000050,1.19E-05,0.0474522,1,0.4,0.1,0,33718100,0.608756,0.380898,4.58E-05,0.998732,1.25E-07,1.84E-02,4.63E-05
0.000050,6.14E-06,0.0122786,1,0.4,0.2,0,65154000,0.568866,0.419294,3.21E-05,0.998731,1.25E-07,0.0128817,3.24E-05
0.000050,4.32E-06,0.00576423,1,0.4,0.3,0,92524700,0.542235,0.448073,2.36E-05,0.998731,1.25E-07,0.00947068,2.38E-05
0.000050,3.46E-06,0.00346225,1,0.4,0.4,0,115532000,0.521796,0.472153,1.77E-05,0.998731,1.25E-07,0.00710224,1.78E-05
0.000050,2.96E-06,0.00237126,1,0.4,0.5,0,134949000,0.504675,0.493824,1.35E-05,0.998731,1.25E-07,0.00542258,1.36E-05
0.000050,2.66E-06,0.00177234,1,0.4,0.6,0,150460000,0.489305,0.514571,1.04E-05,0.998731,1.25E-07,0.00417917,1.05E-05
0.000050,2.45E-06,0.00140207,1,0.4,0.7,0,163024000,0.475127,0.5349,8.15E-06,0.99873,1.25E-07,0.00326954,8.21E-06
0.000050,2.29E-06,0.00114614,1,0.4,0.8,0,174499000,0.462092,0.55469,6.55E-06,0.99873,1.25E-07,0.00262731,6.60E-06
0.000100,2.37E-05,0.0949154,1,0.4,0.1,0,16857100,0.609937,0.379838,8.52E-05,0.998671,2.51E-07,3.63E-02,9.11E-05
0.000100,1.23E-05,0.0245601,1,0.4,0.2,0,32573200,0.568913,0.419246,6.20E-05,0.99867,2.51E-07,0.0248874,6.25E-05
0.000100,8.65E-06,0.0115298,1,0.4,0.3,0,46256900,0.542252,0.448054,4.64E-05,0.998669,2.51E-07,0.0186264,4.68E-05
0.000100,6.93E-06,0.00692531,1,0.4,0.4,0,57759100,0.521848,0.472089,3.51E-05,0.998668,2.51E-07,0.0140951,3.54E-05
0.000100,5.93E-06,0.00474307,1,0.4,0.5,0,67466800,0.504727,0.493756,2.69E-05,0.998668,2.51E-07,1.08E-02,2.72E-05
0.000100,5.32E-06,0.00354488,1,0.4,0.6,0,75225900,0.489331,0.514535,2.08E-05,0.998667,2.51E-07,0.00834646,2.10E-05
0.000100,4.91E-06,0.00280428,1,0.4,0.7,0,81507900,0.475157,0.534855,1.63E-05,0.998667,2.51E-07,6.54E-03,1.64E-05
0.000100,4.58E-06,0.00229239,1,0.4,0.8,0,87245100,0.462115,0.554654,1.31E-05,0.998667,2.51E-07,0.00525418,1.32E-05
0.000500,1.19E-04,0.475019,1,0.4,0.1,0,3368290,NaN,NaN,NaN,NaN,1.25E-06,NaN,NaN
0.000500,6.15E-05,0.122916,1,0.4,0.2,0,6508530,NaN,NaN,NaN,NaN,1.25E-06,NaN,NaN
0.000500,4.33E-05,0.0577033,1,0.4,0.3,0,9242680,NaN,NaN,NaN,NaN,1.25E-06,NaN,NaN
0.000500,3.47E-05,0.0346592,1,0.4,0.4,0,11541000,0.521384,0.472658,1.56E-04,0.998171,1.25E-06,6.26E-02,1.57E-04
0.000500,2.97E-05,0.0237377,1,0.4,0.5,0,13480700,0.504548,0.49399,1.26E-04,0.998166,1.25E-06,5.05E-02,1.27E-04
0.000500,2.66E-05,0.0177319,1,0.4,0.6,0,15038800,0.48932,0.51455,1.01E-04,0.998163,1.25E-06,4.04E-02,1.01E-04
0.000500,2.45E-05,0.0140273,1,0.4,0.7,0,16294800,0.475217,0.534767,8.02E-05,0.998161,1.25E-06,3.22E-02,8.09E-05
0.000500,2.29E-05,0.0114667,1,0.4,0.8,0,17441800,0.46219,0.554537,6.50E-05,0.998159,1.25E-06,2.61E-02,6.56E-05
0.001000,2.38E-04,0.951144,1,0.4,0.1,0,1682180,NaN,NaN,NaN,NaN,2.51E-06,NaN,NaN
0.001000,0.00012306,0.24612,1,0.4,0.2,0,3250450,NaN,NaN,NaN,NaN,2.51E-06,NaN,NaN
0.001000,8.67E-05,0.115543,1,0.4,0.3,0,4615900,NaN,NaN,NaN,NaN,2.51E-06,NaN,NaN
0.001000,6.94E-05,0.0694,1,0.4,0.4,0,5763690,NaN,NaN,NaN,NaN,2.51E-06,NaN,NaN
0.001000,5.94E-05,0.0475313,1,0.4,0.5,0,6732410,0.503804,0.494966,2.28E-04,0.997547,2.51E-06,9.20E-02,2.31E-04
0.001000,5.32E-05,0.0354824,1,0.4,0.6,0,7515460,0.488911,0.515121,1.89E-04,0.997537,2.51E-06,7.60E-02,1.91E-04
0.001000,4.91E-05,0.0280693,1,0.4,0.7,0,8143100,0.475034,0.535037,1.55E-04,0.99753,2.51E-06,6.23E-02,1.56E-04
0.001000,4.59E-05,0.0229454,1,0.4,0.8,0,8716330,0.462149,0.554601,1.28E-04,0.997526,2.51E-06,5.13E-02,1.29E-04
0.005000,1.20E-03,4.80045,1,0.4,0.1,0,333302,NaN,NaN,NaN,NaN,1.25E-05,NaN,NaN
0.005000,0.000621134,1.24227,1,0.4,0.2,0,643983,NaN,NaN,NaN,NaN,1.25E-05,NaN,NaN
0.005000,0.000437406,0.583208,1,0.4,0.3,0,914483,NaN,NaN,NaN,NaN,1.25E-05,NaN,NaN
0.005000,3.50E-04,0.350302,1,0.4,0.4,0,1141870,NaN,NaN,NaN,NaN,1.25E-05,NaN,NaN
0.005000,3.00E-04,0.239916,1,0.4,0.5,0,1333800,NaN,NaN,NaN,NaN,1.25E-05,NaN,NaN
0.005000,2.67E-04,0.178164,1,0.4,0.6,0,1496750,NaN,NaN,NaN,NaN,1.25E-05,NaN,NaN
0.005000,2.47E-04,0.140938,1,0.4,0.7,0,1621790,NaN,NaN,NaN,NaN,1.25E-05,NaN,NaN
0.005000,2.30E-04,0.115208,1,0.4,0.8,0,1735990,0.459769,0.558335,5.39E-04,0.992515,1.25E-05,2.18E-01,5.48E-04
0.010000,0.00242878,9.71511,1,0.4,0.1,0,164692,NaN,NaN,NaN,NaN,2.51E-05,NaN,NaN
0.010000,0.00125717,2.51434,1,0.4,0.2,0,318175,NaN,NaN,NaN,NaN,2.51E-05,NaN,NaN
0.010000,0.000885338,1.18045,1,0.4,0.3,0,451805,NaN,NaN,NaN,NaN,2.51E-05,NaN,NaN
0.010000,7.09E-04,0.709038,1,0.4,0.4,0,564145,NaN,NaN,NaN,NaN,2.51E-05,NaN,NaN
0.010000,6.07E-04,0.485605,1,0.4,0.5,0,658971,NaN,NaN,NaN,NaN,2.51E-05,NaN,NaN
0.010000,5.40E-04,0.359959,1,0.4,0.6,0,740826,NaN,NaN,NaN,NaN,2.51E-05,NaN,NaN
0.010000,4.96E-04,0.283369,1,0.4,0.7,0,806621,NaN,NaN,NaN,NaN,2.51E-05,NaN,NaN
0.010000,4.63E-04,0.23163,1,0.4,0.8,0,863446,NaN,NaN,NaN,NaN,2.51E-05,NaN,NaN
0.000010,2.37E-06,0.00948956,1,0.5,0.1,0,168606000,0.579212,0.408828,2.39E-06,0.998781,2.51E-08,0.000960394,2.41E-06
0.000010,1.23E-06,0.00245549,1,0.5,0.2,0,325801000,0.528942,0.463523,1.20E-06,0.998781,2.51E-08,0.000481057,1.21E-06
0.000010,8.65E-07,0.00115274,1,0.5,0.3,0,462667000,0.493443,0.508859,7.73E-07,0.998781,2.51E-08,0.000310505,7.80E-07
0.000010,6.92E-07,0.000692385,1,0.5,0.4,0,577714000,0.464554,0.550868,5.54E-07,0.998781,2.51E-08,0.000222542,5.59E-07
0.000010,5.93E-07,0.000474207,1,0.5,0.5,0,674811000,0.439531,0.591717,4.22E-07,0.998781,2.51E-08,0.00016951,4.26E-07
0.000010,5.32E-07,0.000354454,1,0.5,0.6,0,752331000,0.416459,0.633732,3.33E-07,0.998781,2.51E-08,0.000133648,3.36E-07
0.000010,4.91E-07,0.000280402,1,0.5,0.7,0,815156000,0.394992,0.677231,2.70E-07,0.998781,2.51E-08,0.000108295,2.72E-07
0.000010,4.58E-07,0.000229218,1,0.5,0.8,0,872533000,0.375446,0.721167,2.25E-07,0.998781,2.51E-08,9.03E-05,2.27E-07
0.000050,1.19E-05,0.0474522,1,0.5,0.1,0,33718100,0.57923,0.40881,1.19E-05,0.998731,1.25E-07,0.00479832,1.21E-05
0.000050,6.14E-06,0.0122786,1,0.5,0.2,0,65154000,0.528949,0.463514,5.99E-06,0.998731,1.25E-07,0.0024052,6.04E-06
